record,cin_int,cin_str,timestamp,batch_parent_id,bottle_size_id,location_id,flavor_id,batch_id,case_id
0,5551810000876,555-18-10000876,TEST,5,18,1,55,0,876
1,7291810001000,729-18-10001000,2020-02-09 12:02:25.255577,7,18,1,29,1,0
2,7291810001001,729-18-10001001,2020-02-09 12:02:25.255577,7,18,1,29,1,1
3,7291810001002,729-18-10001002,2020-02-09 12:02:25.255577,7,18,1,29,1,2
4,7291810001003,729-18-10001003,2020-02-09 12:02:25.255577,7,18,1,29,1,3
5,7291810001004,729-18-10001004,2020-02-09 12:02:25.255577,7,18,1,29,1,4
6,7291810002000,729-18-10002000,2020-02-09 12:02:27.255709,7,18,1,29,2,0
7,7291810002001,729-18-10002001,2020-02-09 12:02:27.255709,7,18,1,29,2,1
8,7291810002002,729-18-10002002,2020-02-09 12:02:27.255709,7,18,1,29,2,2
9,7291810002003,729-18-10002003,2020-02-09 12:02:27.255709,7,18,1,29,2,3
10,7291810002004,729-18-10002004,2020-02-09 12:02:27.255709,7,18,1,29,2,4
11,7291810003000,729-18-10003000,2020-02-09 12:03:26.071091,7,18,1,29,3,0
12,7291810003001,729-18-10003001,2020-02-09 12:03:26.071091,7,18,1,29,3,1
13,7291810003002,729-18-10003002,2020-02-09 12:03:26.071091,7,18,1,29,3,2
14,7291810003003,729-18-10003003,2020-02-09 12:03:26.071091,7,18,1,29,3,3
15,7291810003004,729-18-10003004,2020-02-09 12:03:26.071091,7,18,1,29,3,4
16,7291810004000,729-18-10004000,2020-02-09 12:03:27.198844,7,18,1,29,4,0
17,7291810004001,729-18-10004001,2020-02-09 12:03:27.198844,7,18,1,29,4,1
18,7291810004002,729-18-10004002,2020-02-09 12:03:27.198844,7,18,1,29,4,2
19,7291810004003,729-18-10004003,2020-02-09 12:03:27.198844,7,18,1,29,4,3
20,7291810004004,729-18-10004004,2020-02-09 12:03:27.198844,7,18,1,29,4,4
21,5051810005000,505-18-10005000,2020-02-09 13:43:45.192138,5,18,1,5,5,0
22,5051810005001,505-18-10005001,2020-02-09 13:43:45.192138,5,18,1,5,5,1
23,5051810005002,505-18-10005002,2020-02-09 13:43:45.192138,5,18,1,5,5,2
24,5051810005003,505-18-10005003,2020-02-09 13:43:45.192138,5,18,1,5,5,3
25,5051810005004,505-18-10005004,2020-02-09 13:43:45.192138,5,18,1,5,5,4
26,5051810005005,505-18-10005005,2020-02-09 13:43:45.192138,5,18,1,5,5,5
27,5051810006000,505-18-10006000,2020-02-09 13:43:52.089624,5,18,1,5,6,0
28,5051810006001,505-18-10006001,2020-02-09 13:43:52.089624,5,18,1,5,6,1
29,5051810006002,505-18-10006002,2020-02-09 13:43:52.089624,5,18,1,5,6,2
30,5051810006003,505-18-10006003,2020-02-09 13:43:52.089624,5,18,1,5,6,3
31,5051810006004,505-18-10006004,2020-02-09 13:43:52.089624,5,18,1,5,6,4
32,5051810006005,505-18-10006005,2020-02-09 13:43:52.089624,5,18,1,5,6,5
33,5051810007000,505-18-10007000,2020-02-09 13:43:53.067028,5,18,1,5,7,0
34,5051810007001,505-18-10007001,2020-02-09 13:43:53.067028,5,18,1,5,7,1
35,5051810007002,505-18-10007002,2020-02-09 13:43:53.067028,5,18,1,5,7,2
36,5051810007003,505-18-10007003,2020-02-09 13:43:53.067028,5,18,1,5,7,3
37,5051810007004,505-18-10007004,2020-02-09 13:43:53.067028,5,18,1,5,7,4
38,5051810007005,505-18-10007005,2020-02-09 13:43:53.067028,5,18,1,5,7,5
39,5051810008000,505-18-10008000,2020-02-09 13:48:53.313236,5,18,1,5,8,0
40,5051810008001,505-18-10008001,2020-02-09 13:48:53.313236,5,18,1,5,8,1
41,5051810008002,505-18-10008002,2020-02-09 13:48:53.313236,5,18,1,5,8,2
42,5051810008003,505-18-10008003,2020-02-09 13:48:53.313236,5,18,1,5,8,3
43,5051810008004,505-18-10008004,2020-02-09 13:48:53.313236,5,18,1,5,8,4
44,5051810008005,505-18-10008005,2020-02-09 13:48:53.313236,5,18,1,5,8,5
45,5051810008006,505-18-10008006,2020-02-09 13:48:53.313236,5,18,1,5,8,6
46,5051810008007,505-18-10008007,2020-02-09 13:48:53.313236,5,18,1,5,8,7
47,5051810008008,505-18-10008008,2020-02-09 13:48:53.313236,5,18,1,5,8,8
48,5051810008009,505-18-10008009,2020-02-09 13:48:53.313236,5,18,1,5,8,9
49,5051810009000,505-18-10009000,2020-02-09 13:49:05.478053,5,18,1,5,9,0
50,5051810009001,505-18-10009001,2020-02-09 13:49:05.478053,5,18,1,5,9,1
51,5051810009002,505-18-10009002,2020-02-09 13:49:05.478053,5,18,1,5,9,2
52,5051810009003,505-18-10009003,2020-02-09 13:49:05.478053,5,18,1,5,9,3
53,5051810009004,505-18-10009004,2020-02-09 13:49:05.478053,5,18,1,5,9,4
54,5051810009005,505-18-10009005,2020-02-09 13:49:05.478053,5,18,1,5,9,5
55,5051810009006,505-18-10009006,2020-02-09 13:49:05.478053,5,18,1,5,9,6
56,5051810009007,505-18-10009007,2020-02-09 13:49:05.478053,5,18,1,5,9,7
57,5051810009008,505-18-10009008,2020-02-09 13:49:05.478053,5,18,1,5,9,8
58,5051810009009,505-18-10009009,2020-02-09 13:49:05.478053,5,18,1,5,9,9
59,5051810009010,505-18-10009010,2020-02-09 13:49:05.478053,5,18,1,5,9,10
60,5051810009011,505-18-10009011,2020-02-09 13:49:05.478053,5,18,1,5,9,11
61,5051810009012,505-18-10009012,2020-02-09 13:49:05.478053,5,18,1,5,9,12
62,5051810009013,505-18-10009013,2020-02-09 13:49:05.478053,5,18,1,5,9,13
63,5051810009014,505-18-10009014,2020-02-09 13:49:05.478053,5,18,1,5,9,14
64,5051810010000,505-18-10010000,2020-02-13 00:17:21.643162,5,18,1,5,10,0
65,5051810010001,505-18-10010001,2020-02-13 00:17:21.643162,5,18,1,5,10,1
66,5051810010002,505-18-10010002,2020-02-13 00:17:21.643162,5,18,1,5,10,2
67,5051810010003,505-18-10010003,2020-02-13 00:17:21.643162,5,18,1,5,10,3
68,5051810010004,505-18-10010004,2020-02-13 00:17:21.643162,5,18,1,5,10,4
69,5051810011000,505-18-10011000,2020-02-13 00:18:33.023588,5,18,1,5,11,0
70,5051810011001,505-18-10011001,2020-02-13 00:18:33.023588,5,18,1,5,11,1
71,5051810011002,505-18-10011002,2020-02-13 00:18:33.023588,5,18,1,5,11,2
72,5051810011003,505-18-10011003,2020-02-13 00:18:33.023588,5,18,1,5,11,3
73,5051810011004,505-18-10011004,2020-02-13 00:18:33.023588,5,18,1,5,11,4
74,7757210012000,775-72-10012000,2020-02-13 00:18:44.462788,7,72,1,75,12,0
75,7757210012001,775-72-10012001,2020-02-13 00:18:44.462788,7,72,1,75,12,1
76,7757210012002,775-72-10012002,2020-02-13 00:18:44.462788,7,72,1,75,12,2
77,7757210012003,775-72-10012003,2020-02-13 00:18:44.462788,7,72,1,75,12,3
78,7757210012004,775-72-10012004,2020-02-13 00:18:44.462788,7,72,1,75,12,4
79,7757210013000,775-72-10013000,2020-02-13 00:18:47.640236,7,72,1,75,13,0
80,7757210013001,775-72-10013001,2020-02-13 00:18:47.640236,7,72,1,75,13,1
81,7757210013002,775-72-10013002,2020-02-13 00:18:47.640236,7,72,1,75,13,2
82,7757210013003,775-72-10013003,2020-02-13 00:18:47.640236,7,72,1,75,13,3
83,7757210013004,775-72-10013004,2020-02-13 00:18:47.640236,7,72,1,75,13,4
84,5051810014000,505-18-10014000,2020-02-13 00:20:02.698582,5,18,1,5,14,0
85,5051810014001,505-18-10014001,2020-02-13 00:20:02.698582,5,18,1,5,14,1
86,5051810014002,505-18-10014002,2020-02-13 00:20:02.698582,5,18,1,5,14,2
87,5051810014003,505-18-10014003,2020-02-13 00:20:02.698582,5,18,1,5,14,3
88,5051810014004,505-18-10014004,2020-02-13 00:20:02.698582,5,18,1,5,14,4
89,7291810015000,729-18-10015000,2020-02-13 00:20:19.773731,7,18,1,29,15,0
90,7291810015001,729-18-10015001,2020-02-13 00:20:19.773731,7,18,1,29,15,1
91,7291810015002,729-18-10015002,2020-02-13 00:20:19.773731,7,18,1,29,15,2
92,7291810015003,729-18-10015003,2020-02-13 00:20:19.773731,7,18,1,29,15,3
93,7291810015004,729-18-10015004,2020-02-13 00:20:19.773731,7,18,1,29,15,4
94,7757210016000,775-72-10016000,2020-02-13 00:20:57.277802,7,72,1,75,16,0
95,7757210016001,775-72-10016001,2020-02-13 00:20:57.277802,7,72,1,75,16,1
96,7757210016002,775-72-10016002,2020-02-13 00:20:57.277802,7,72,1,75,16,2
97,7757210016003,775-72-10016003,2020-02-13 00:20:57.277802,7,72,1,75,16,3
98,7757210016004,775-72-10016004,2020-02-13 00:20:57.277802,7,72,1,75,16,4
99,5051810017000,505-18-10017000,2020-02-13 00:21:52.682644,5,18,1,5,17,0
100,5051810017001,505-18-10017001,2020-02-13 00:21:52.682644,5,18,1,5,17,1
101,5051810017002,505-18-10017002,2020-02-13 00:21:52.682644,5,18,1,5,17,2
102,5051810017003,505-18-10017003,2020-02-13 00:21:52.682644,5,18,1,5,17,3
103,5051810017004,505-18-10017004,2020-02-13 00:21:52.682644,5,18,1,5,17,4
104,5051810018000,505-18-10018000,2020-02-13 00:23:16.052995,5,18,1,5,18,0
105,5051810018001,505-18-10018001,2020-02-13 00:23:16.052995,5,18,1,5,18,1
106,5051810018002,505-18-10018002,2020-02-13 00:23:16.052995,5,18,1,5,18,2
107,5051810018003,505-18-10018003,2020-02-13 00:23:16.052995,5,18,1,5,18,3
108,5051810018004,505-18-10018004,2020-02-13 00:23:16.052995,5,18,1,5,18,4
109,5764110019000,576-41-10019000,2020-02-13 00:23:34.828391,5,41,1,76,19,0
110,5764110019001,576-41-10019001,2020-02-13 00:23:34.828391,5,41,1,76,19,1
111,5764110019002,576-41-10019002,2020-02-13 00:23:34.828391,5,41,1,76,19,2
112,5764110019003,576-41-10019003,2020-02-13 00:23:34.828391,5,41,1,76,19,3
113,5764110019004,576-41-10019004,2020-02-13 00:23:34.828391,5,41,1,76,19,4
114,7294110020000,729-41-10020000,2020-02-13 00:23:42.621550,7,41,1,29,20,0
115,7294110020001,729-41-10020001,2020-02-13 00:23:42.621550,7,41,1,29,20,1
116,7294110020002,729-41-10020002,2020-02-13 00:23:42.621550,7,41,1,29,20,2
117,7294110020003,729-41-10020003,2020-02-13 00:23:42.621550,7,41,1,29,20,3
118,7294110020004,729-41-10020004,2020-02-13 00:23:42.621550,7,41,1,29,20,4
119,5051810021000,505-18-10021000,2020-02-13 00:40:26.672266,5,18,1,5,21,0
120,5051810021001,505-18-10021001,2020-02-13 00:40:26.672266,5,18,1,5,21,1
121,5051810021002,505-18-10021002,2020-02-13 00:40:26.672266,5,18,1,5,21,2
122,5051810021003,505-18-10021003,2020-02-13 00:40:26.672266,5,18,1,5,21,3
123,5051810021004,505-18-10021004,2020-02-13 00:40:26.672266,5,18,1,5,21,4
124,5051810021005,505-18-10021005,2020-02-13 00:40:26.672266,5,18,1,5,21,5
125,5051810021006,505-18-10021006,2020-02-13 00:40:26.672266,5,18,1,5,21,6
126,5051810021007,505-18-10021007,2020-02-13 00:40:26.672266,5,18,1,5,21,7
127,5051810021008,505-18-10021008,2020-02-13 00:40:26.672266,5,18,1,5,21,8
128,5051810021009,505-18-10021009,2020-02-13 00:40:26.672266,5,18,1,5,21,9
129,5051810022000,505-18-10022000,2020-02-13 00:41:24.224457,5,18,1,5,22,0
130,5051810022001,505-18-10022001,2020-02-13 00:41:24.224457,5,18,1,5,22,1
131,5051810022002,505-18-10022002,2020-02-13 00:41:24.224457,5,18,1,5,22,2
132,5051810022003,505-18-10022003,2020-02-13 00:41:24.224457,5,18,1,5,22,3
133,5051810022004,505-18-10022004,2020-02-13 00:41:24.224457,5,18,1,5,22,4
134,5051810022005,505-18-10022005,2020-02-13 00:41:24.224457,5,18,1,5,22,5
135,5051810022006,505-18-10022006,2020-02-13 00:41:24.224457,5,18,1,5,22,6
136,5051810022007,505-18-10022007,2020-02-13 00:41:24.224457,5,18,1,5,22,7
137,5051810022008,505-18-10022008,2020-02-13 00:41:24.224457,5,18,1,5,22,8
138,5051810022009,505-18-10022009,2020-02-13 00:41:24.224457,5,18,1,5,22,9
